Temperature(Kelvin),Pressure (Mpa),CaCl2 Concentration (ppm),NaCl Concentration (ppm),KCl Concentration (ppm),MgCl2 Concentration (ppm),CO2 Solubility (mol/kg)
0.713119276,0.057235903,0.166666667,0,0,0,0.279019608
0.713119276,0.112886406,0.166666667,0,0,0,0.407941176
0.713119276,0.169188459,0.166666667,0,0,0,0.435735294
0.713119276,0.224937202,0.166666667,0,0,0,0.451617647
0.713119276,0.017807529,0,0,0,0.2,0.091960784
0.713119276,0.034474562,0,0,0,0.2,0.165784314
0.713119276,0.057261875,0,0,0,0.2,0.256715686
0.713119276,0.11458021,0,0,0,0.2,0.380539216
0.713119276,0.169199751,0,0,0,0.2,0.413480392
0.713119276,0.227173024,0,0,0,0.2,0.439607843
0.65761889,0.001144165,0,0,0,0.002102722,0.016176471
0.65761889,0.023340961,0,0,0,0.002102722,0.292156863
0.65761889,0.046681922,0,0,0,0.002102722,0.632352941
0.65761889,0.070022883,0,0,0,0.002102722,0.659803922
0.65761889,0.093363844,0,0,0,0.002102722,0.680882353
0.65761889,0.116704805,0,0,0,0.002102722,0.69754902
0.65761889,0.155720824,0,0,0,0.002102722,0.722058824
0.65761889,0.179061785,0,0,0,0.002102722,0.735784314
0.65761889,0.194622426,0,0,0,0.002102722,0.745588235
0.65761889,0.217963387,0,0,0,0.002102722,0.757352941
0.65761889,0.001144165,0,0,0,0.021218381,0.015686275
0.65761889,0.023340961,0,0,0,0.021218381,0.288235294
0.65761889,0.046681922,0,0,0,0.021218381,0.502941176
0.65761889,0.070022883,0,0,0,0.021218381,0.644607843
0.65761889,0.093363844,0,0,0,0.021218381,0.662254902
0.65761889,0.116704805,0,0,0,0.021218381,0.684803922
0.65761889,0.155720824,0,0,0,0.021218381,0.698529412
0.65761889,0.179061785,0,0,0,0.021218381,0.721078431
0.65761889,0.194622426,0,0,0,0.021218381,0.734313725
0.65761889,0.217963387,0,0,0,0.021218381,0.742303922
0.65761889,0.001144165,0,0,0,0.031989132,0.015686275
0.65761889,0.023340961,0,0,0,0.031989132,0.283823529
0.65761889,0.046681922,0,0,0,0.031989132,0.496568627
0.65761889,0.070022883,0,0,0,0.031989132,0.639705882
0.65761889,0.093363844,0,0,0,0.031989132,0.659313725
0.65761889,0.116704805,0,0,0,0.031989132,0.679901961
0.65761889,0.155720824,0,0,0,0.031989132,0.691666667
0.65761889,0.179061785,0,0,0,0.031989132,0.712745098
0.65761889,0.194622426,0,0,0,0.031989132,0.732843137
0.65761889,0.217963387,0,0,0,0.031989132,0.733823529
0.734856008,0.001144165,0,0,0,0.002102722,0.006862745
0.734856008,0.023340961,0,0,0,0.002102722,0.153921569
0.734856008,0.046681922,0,0,0,0.002102722,0.250490196
0.734856008,0.070022883,0,0,0,0.002102722,0.378921569
0.734856008,0.093363844,0,0,0,0.002102722,0.494117647
0.734856008,0.116704805,0,0,0,0.002102722,0.508823529
