Paper Title,Temperature,Temperature Unit,Pressure,Pressure Unit,CaCl2 Concentration,NaCl Concentration,KCl Concentration,MgCl2 Concentration,Concentration Unit,CO2 Solubility,Solubility Unit,Unconverged data (*)
Dos Santos - 2020,323.15,kelvin,5.0687,MPa,1,0,0,0,mol/kg,0.5692,mol/kg,
Dos Santos - 2020,323.15,kelvin,9.997,MPa,1,0,0,0,mol/kg,0.8322,mol/kg,
Dos Santos - 2020,323.15,kelvin,14.983,MPa,1,0,0,0,mol/kg,0.8889,mol/kg,
Dos Santos - 2020,323.15,kelvin,19.92,MPa,1,0,0,0,mol/kg,0.9213,mol/kg,
Dos Santos - 2020,323.15,kelvin,1.577,MPa,0,0,0,1,mol/kg,0.1876,mol/kg,
Dos Santos - 2020,323.15,kelvin,3.053,MPa,0,0,0,1,mol/kg,0.3382,mol/kg,
Dos Santos - 2020,323.15,kelvin,5.071,MPa,0,0,0,1,mol/kg,0.5237,mol/kg,
Dos Santos - 2020,323.15,kelvin,10.147,MPa,0,0,0,1,mol/kg,0.7763,mol/kg,
Dos Santos - 2020,323.15,kelvin,14.984,MPa,0,0,0,1,mol/kg,0.8435,mol/kg,
Dos Santos - 2020,323.15,kelvin,20.118,MPa,0,0,0,1,mol/kg,0.8968,mol/kg,
Liu - 2021,298,kelvin,0.101325,MPa,0,0,0,0.010513612,mol/kg,0.033,mol/kg,
Liu - 2021,298,kelvin,2.06703,MPa,0,0,0,0.010513612,mol/kg,0.596,mol/kg,
Liu - 2021,298,kelvin,4.13406,MPa,0,0,0,0.010513612,mol/kg,1.29,mol/kg,
Liu - 2021,298,kelvin,6.20109,MPa,0,0,0,0.010513612,mol/kg,1.346,mol/kg,
Liu - 2021,298,kelvin,8.26812,MPa,0,0,0,0.010513612,mol/kg,1.389,mol/kg,
Liu - 2021,298,kelvin,10.33515,MPa,0,0,0,0.010513612,mol/kg,1.423,mol/kg,
Liu - 2021,298,kelvin,13.7903325,MPa,0,0,0,0.010513612,mol/kg,1.473,mol/kg,
Liu - 2021,298,kelvin,15.8573625,MPa,0,0,0,0.010513612,mol/kg,1.501,mol/kg,*
